episode,reward,length,epsilon,mean_loss,steps
1,-326.45809572305365,97,0.995,6.6307442079890855,97
2,-232.95903943243016,117,0.990025,53.65117574453354,214
3,-434.327516692081,125,0.985074875,45.99452946424484,339
4,-71.24199515499025,120,0.9801495006250001,30.186852674484253,459
5,-90.29136474902195,68,0.9752487531218751,31.877338296175004,527
6,-305.7276853412575,78,0.9703725093562657,30.86858155846596,605
7,-324.5251538484539,88,0.9655206468094844,27.745580701828004,693
8,-65.7689875511675,91,0.960693043575437,29.824496654272078,784
9,-172.27023884898594,102,0.9558895783575597,32.82368330359459,886
10,-267.49609252302093,92,0.9511101304657719,32.37083951711654,978
11,-88.62354998807298,79,0.946354579813443,27.59095749139786,1057
12,-109.91886495654099,89,0.9416228069143757,24.774774580001832,1146
13,-132.36308689830315,126,0.9369146928798039,32.95217497587204,1272
14,-219.10048735598053,95,0.9322301194154049,24.467243633270265,1367
15,-138.4094832666658,62,0.9275689688183278,22.159283545017242,1429
16,-81.78755209852986,94,0.9229311239742362,24.27557691335678,1523
17,-303.5706369449764,104,0.918316468354365,21.083328320980073,1627
18,-89.08318097391684,100,0.9137248860125932,23.156219005584717,1727
19,-212.00984646786753,99,0.9091562615825302,15.45780021429062,1826
20,-35.76431398366039,98,0.9046104802746175,24.919904522895813,1924
21,-195.0541776857889,122,0.9000874278732445,32.72387299537659,2046
22,-212.7782573082216,60,0.8955869907338783,30.70598969459534,2106
23,-111.42020440495037,65,0.8911090557802088,30.179095959663393,2171
24,-98.25564372895823,89,0.8866535105013078,29.817282354831697,2260
25,-150.42318164658468,113,0.8822202429488013,24.361002490520477,2373
26,-293.9209986855358,110,0.8778091417340573,32.127462545633314,2483
27,-233.58489553205084,106,0.8734200960253871,31.634762263298036,2589
28,-94.64980251692393,82,0.8690529955452602,23.508243172168733,2671
29,-195.49523385147177,119,0.8647077305675338,27.686027789115904,2790
30,-121.7061708100484,140,0.8603841919146962,35.403647375106814,2930
31,-90.95776942494452,68,0.8560822709551227,34.46990880489349,2998
32,-62.364087791487435,74,0.851801859600347,31.1083304309845,3072
33,-69.29168689262335,83,0.8475428503023453,39.17611136674881,3155
34,-105.62431480620724,103,0.8433051360508336,37.260533992052075,3258
35,-95.35886326868454,80,0.8390886103705794,34.58190638542175,3338
36,-83.19537787776616,78,0.8348931673187264,39.79178152322769,3416
37,20.76649147583383,97,0.8307187014821328,31.707194752693177,3513
38,-100.7111583079374,63,0.8265651079747222,33.94863728046417,3576
39,-54.636008109573424,162,0.8224322824348486,36.09158368587494,3738
40,-120.89542239277898,104,0.8183201210226743,36.79295541763306,3842
41,-95.7366708550361,140,0.8142285204175609,41.07388282060623,3982
42,-18.86853132192158,130,0.810157377815473,40.669317684173585,4112
43,-97.19302700008619,108,0.8061065909263957,35.123782889842985,4220
44,-95.6837719263648,120,0.8020760579717637,43.735255925655366,4340
45,-94.95526850551126,125,0.798065677681905,46.12989335775375,4465
46,-75.6966240637098,77,0.7940753492934954,54.05341867923737,4542
47,-82.0392043065641,89,0.7901049725470279,56.42425045967102,4631
48,-211.620755868169,129,0.7861544476842928,50.11818890094757,4760
49,-77.99278233116779,89,0.7822236754458713,58.65610687971115,4849
50,-66.56184284161631,106,0.778312557068642,43.00249948501587,4955
51,-9.473200380778849,124,0.7744209942832988,43.15312447309494,5079
52,-57.386624416302105,114,0.7705488893118823,44.8707082080841,5193
53,-35.909945704380036,133,0.7666961448653229,42.87391347646713,5326
54,-55.98892829304377,96,0.7628626641409962,40.447221817970274,5422
55,-180.02037643566564,126,0.7590483508202912,40.94647977828979,5548
56,-98.3394184407685,118,0.7552531090661897,43.17981764674187,5666
57,-130.88098111882266,108,0.7514768435208588,41.607443478107456,5774
58,-206.3449111417173,101,0.7477194593032545,48.07650300741196,5875
59,-38.690516186472095,71,0.7439808620067382,43.757284011840824,5946
60,-98.14794274967535,144,0.7402609576967045,61.90459720134735,6090
61,-58.527252231839356,146,0.736559652908221,41.51629331350327,6236
62,-76.03975091653935,116,0.7328768546436799,37.805956428051,6352
63,-79.37381203223201,92,0.7292124703704616,41.8161387848854,6444
64,-87.995362913393,68,0.7255664080186093,35.70658135652542,6512
65,-76.68457175961359,133,0.7219385759785162,46.65069465994835,6645
66,-34.88854918141833,88,0.7183288830986236,41.641370034217836,6733
67,-84.93282508216025,138,0.7147372386831305,36.63258927822113,6871
68,-108.38227031983138,93,0.7111635524897149,47.18659606695175,6964
69,-102.78369729342548,110,0.7076077347272662,34.18685126543045,7074
70,-70.11645421614844,68,0.7040696960536299,39.58249659776688,7142
71,-66.01918383815972,75,0.7005493475733617,48.34036324977875,7217
72,-72.63997757233435,121,0.697046600835495,38.8980147433281,7338
73,-39.50390104174271,88,0.6935613678313175,30.029063711166383,7426
74,-58.28727656097347,90,0.6900935609921609,28.44217109441757,7516
75,-71.94015529111633,138,0.6866430931872001,33.84239269495011,7654
76,-68.63418750031758,141,0.6832098777212641,42.320735313892364,7795
77,-132.30788451174175,124,0.6797938283326578,33.79183225154877,7919
78,-112.98130256860551,106,0.6763948591909945,28.3088542842865,8025
79,-62.41401357673146,87,0.6730128848950395,34.76495418548584,8112
80,-72.30796011737552,149,0.6696478204705644,34.456341390609744,8261
81,-80.60955251885224,115,0.6662995813682115,32.140770485401156,8376
82,-84.87662678526247,90,0.6629680834613705,40.58257569551468,8466
83,-72.32683767336334,106,0.6596532430440636,30.670097477436066,8572
84,-50.65298807848164,91,0.6563549768288433,37.02953390598297,8663
85,-84.20225214015412,105,0.653073201944699,31.124590618610384,8768
86,-60.496784438617965,83,0.6498078359349755,38.541337792873385,8851
87,-187.81704190458422,183,0.6465587967553006,32.057910377979276,9034
88,-25.833170975828665,171,0.6433260027715241,29.294019169807434,9205
89,-36.41332619059352,137,0.6401093727576664,30.416500692367553,9342
90,-91.48867643446673,108,0.6369088258938781,24.951132920980452,9450
91,-77.69017921785196,172,0.6337242817644086,31.407929241657257,9622
92,-99.42399466259963,106,0.6305556603555866,36.13104947328568,9728
93,-50.07480015101365,139,0.6274028820538087,36.26403964281082,9867
94,10.54425687316818,193,0.6242658676435396,32.70837502479553,10060
95,-88.24807776115802,123,0.6211445383053219,30.068770703077316,10183
96,-84.92966228112839,126,0.6180388156137953,32.59853003740311,10309
97,-116.24539635325158,249,0.6149486215357263,26.17964604616165,10558
98,-138.40468551159938,136,0.6118738784280476,31.368271411657332,10694
99,-168.3535067887659,128,0.6088145090359074,27.624635705947878,10822
100,-37.20343183693277,126,0.6057704364907278,28.765635361671446,10948
101,-94.34647271628921,102,0.6027415843082742,27.37754331231117,11050
102,-49.06623320943646,172,0.5997278763867329,26.4879652762413,11222
103,-95.45136289859946,102,0.5967292370047992,30.596665058135986,11324
104,-82.7635285813158,149,0.5937455908197752,24.602230036258696,11473
105,-189.51849151567168,328,0.5907768628656763,29.11813955783844,11801
106,-71.85174848462437,108,0.5878229785513479,23.609633331298827,11909
107,-54.05035051721876,79,0.5848838636585911,22.829312863349916,11988
108,-41.136781468506086,97,0.5819594443402982,21.230516719818116,12085
109,-71.02729716282349,159,0.5790496471185967,26.668949415683745,12244
110,-49.07727527505287,113,0.5761543988830038,28.712748966217042,12357
111,-64.53305751374862,137,0.5732736268885887,24.03415666818619,12494
112,-106.77786455500431,584,0.5704072587541458,23.324192148447036,13078
113,-36.816266233051465,270,0.567555222460375,23.96847136735916,13348
114,-84.45046094366599,168,0.5647174463480732,24.04512895822525,13516
115,-21.727012149945907,142,0.5618938591163328,20.408962807655335,13658
116,19.107261595465445,170,0.5590843898207511,22.974752838611604,13828
117,9.746812796445369,201,0.5562889678716474,21.615121207237245,14029
118,-69.8775345896323,108,0.5535075230322891,20.616653437614442,14137
119,-299.80372458933635,250,0.5507399854171277,18.887529916763306,14387
120,-55.54189774065627,122,0.547986285490042,21.982237420082093,14509
121,-133.67252890688167,258,0.5452463540625918,25.011197929382323,14767
122,-97.840410317693,135,0.5425201222922789,18.002333207130434,14902
123,-39.840659947465156,239,0.5398075216808175,23.059113216400146,15141
124,-29.032562424627727,225,0.5371084840724134,25.785863444805145,15366
125,-91.00891101632054,208,0.5344229416520513,17.4434060382843,15574
126,-64.67858056564877,64,0.531750826943791,17.697132897377013,15638
127,-17.951816395900153,107,0.5290920728090721,25.234491035938262,15745
128,-71.09258515526388,172,0.5264466124450268,27.412811331748962,15917
129,-93.12507413900413,173,0.5238143793828016,22.032531616687773,16090
130,-276.9708593279334,653,0.5211953074858876,28.60912514448166,16743
131,15.37716008520944,159,0.5185893309484582,24.067279553413393,16902
132,-315.47625995394003,512,0.5159963842937159,29.97409099340439,17414
133,12.208988801062603,138,0.5134164023722473,29.53808575630188,17552
134,-136.00713514053842,106,0.510849320360386,35.21790352344513,17658
135,-15.144643158819676,173,0.5082950737585841,28.149150011539458,17831
