episode,reward,length,epsilon,mean_loss,steps
1,-415.3905896742708,121,0.995,44.69364382718739,121
2,-77.94762991712055,112,0.990025,120.81279569625855,233
3,-245.51097611239777,108,0.985074875,90.54873328208923,341
4,-104.11983733112015,67,0.9801495006250001,59.8288501727581,408
5,-301.41750265857604,115,0.9752487531218751,59.45291704177856,523
6,-112.37617158859256,111,0.9703725093562657,42.94073537826538,634
7,-268.9708227159978,134,0.9655206468094844,37.004725153446195,768
8,-362.39559565760123,107,0.960693043575437,27.570605405569076,875
9,-50.5091641380399,76,0.9558895783575597,37.52381707191467,951
10,-361.5058045582643,104,0.9511101304657719,37.94740116596222,1055
11,-65.65718081856127,71,0.946354579813443,40.40879733085632,1126
12,-375.8931659940647,111,0.9416228069143757,32.615877783298494,1237
13,-153.29459280308342,68,0.9369146928798039,36.93537029266358,1305
14,-44.52991594423066,72,0.9322301194154049,40.242376655340195,1377
15,-106.08972291387691,72,0.9275689688183278,37.26392048001289,1449
16,-80.9580317867649,69,0.9229311239742362,46.86384163379669,1518
17,-175.0623797478903,116,0.918316468354365,34.712055727243424,1634
18,-203.75570270770768,64,0.9137248860125932,32.17455200791359,1698
19,-55.84807782743651,145,0.9091562615825302,30.902471294403075,1843
20,-84.58999026749657,96,0.9046104802746175,31.92346346974373,1939
21,-198.17510477448144,90,0.9000874278732445,33.864663153886795,2029
22,-250.82214238470306,82,0.8955869907338783,48.75980009198189,2111
23,-97.35314544135453,72,0.8911090557802088,33.65173679471016,2183
24,-129.0541090518447,66,0.8866535105013078,29.188053377866744,2249
25,-114.27818645635452,136,0.8822202429488013,25.453530004024504,2385
26,-388.83475468735367,91,0.8778091417340573,25.710109145641326,2476
27,-19.775595009307622,69,0.8734200960253871,27.05638928890228,2545
28,-93.69028889308487,73,0.8690529955452602,18.338091398477555,2618
29,-162.05518294552414,97,0.8647077305675338,22.25281846165657,2715
30,-162.49073023569602,76,0.8603841919146962,20.08301888823509,2791
31,-140.85507071201096,81,0.8560822709551227,30.469502396583557,2872
32,-60.46449214979505,106,0.851801859600347,15.795121215581894,2978
33,-232.2193488875304,99,0.8475428503023453,33.60200178384781,3077
