episode,reward,length,epsilon,mean_loss,steps
1,-287.5228964056713,66,0.4975,92.96704721450806,66
2,-421.8287312737838,151,0.4950125,40.47305260658264,217
3,-391.6830456353915,98,0.4925374375,43.15261698722839,315
4,-89.20204737880536,147,0.49007475031250003,32.577723939418796,462
5,-39.69109810676923,178,0.48762437656093754,25.923136188983918,640
6,-213.82443573710378,130,0.48518625467813287,24.412827401161195,770
7,-60.318284141872844,134,0.4827603234047422,25.731129974126816,904
8,-164.43281016611388,138,0.4803465217877185,14.948233070373535,1042
9,-165.01295766542836,288,0.47794478917877986,11.102310979366303,1330
10,-132.19452916798122,291,0.47555506523288593,10.121093845367431,1621
11,-5.985358808702458,119,0.4731772899067215,10.142051879167557,1740
12,-117.68697502525902,113,0.47081140345718786,9.748462518453598,1853
13,-76.11997160088697,286,0.46845734643990194,6.539245855808258,2139
14,-59.433085532562856,270,0.46611505970770245,6.170330432653427,2409
15,-74.91367623172769,140,0.4637844844091639,5.0768038070201875,2549
16,-53.83130067422666,207,0.4614655619871181,6.931616710424423,2756
17,-84.10042977170448,64,0.4591582341771825,7.255572222471237,2820
18,15.326810104203162,203,0.4568624430062966,5.1034543526172635,3023
19,-30.80447718228345,286,0.4545781307912651,5.381684209108353,3309
20,-230.5831272474127,97,0.4523052401373088,8.262853581905365,3406
21,-101.29770501597991,222,0.45004371393662224,5.174504115581512,3628
22,4.436650221127664,120,0.44779349536693913,9.152565734386444,3748
23,-83.87805640344783,113,0.4455545278901044,6.551451601982117,3861
24,-216.2739506887459,179,0.4433267552506539,9.3112444293499,4040
25,-179.90957112297133,202,0.44111012147440065,10.39363921403885,4242
26,-194.9289398334941,144,0.43890457086702866,5.676367546319962,4386
27,14.78823583954896,262,0.43671004801269353,12.126038851737976,4648
28,33.25230026263368,1000,0.4345264977726301,12.174432634115218,5648
29,-25.4078126028826,407,0.4323538652837669,12.674056808948517,6055
30,30.524343725883043,1000,0.4301920959573481,11.140171475410462,7055
31,89.39017759697131,1000,0.42804113547756134,12.288794734477996,8055
32,-45.20370831062024,209,0.4259009298001735,13.564115505218506,8264
33,-66.14213263305416,130,0.42377142515117266,10.626215291023254,8394
34,121.93298441875524,1000,0.4216525680254168,10.068172330856322,9394
35,22.87559155393143,153,0.4195443051852897,16.74242150068283,9547
36,-11.746690651900607,191,0.4174465836593632,19.69061772584915,9738
37,-21.594932939968558,166,0.4153593507410664,16.509767599105835,9904
38,-52.10890522660546,98,0.4132825539873611,14.370835285186768,10002
39,-37.72000740238842,117,0.4112161412174243,17.480545511245726,10119
40,-26.96358083050326,268,0.40916006051133713,18.41922511458397,10387
41,4.492829794870268,1000,0.40711426020878044,16.77407314658165,11387
42,-59.274927018671285,228,0.4050786889077365,20.981815648078918,11615
43,63.90135633144828,1000,0.40305329546319785,17.91694519519806,12615
44,-20.011479110285592,159,0.40103802898588187,14.24188579082489,12774
45,164.7154917664747,1000,0.3990328388409525,16.39323691368103,13774
