episode,reward,length,epsilon,mean_loss,steps
1,-108.7100870262492,72,0.98,21.17037123441696,72
2,-435.45745210534716,94,0.9603999999999999,85.95433963537216,166
3,-153.37372866571164,71,0.9411919999999999,81.37275670051575,237
4,-124.81610786518937,83,0.9223681599999999,80.48141454219818,320
5,19.271633273998106,86,0.9039207967999998,80.88290918111801,406
6,-80.82227804672567,74,0.8858423808639998,90.57039242744446,480
7,-107.76587900257138,82,0.8681255332467198,84.02477638244629,562
8,-103.39508312363081,77,0.8507630225817854,49.26659227609635,639
9,-200.66349069368525,164,0.8337477621301497,66.14060445308685,803
10,-101.9405611013382,77,0.8170728068875467,67.40126312971115,880
11,-119.32036976868915,102,0.8007313507497957,67.94964210987091,982
12,-86.06011593750092,99,0.7847167237347998,49.58154985904694,1081
13,-186.1001311871946,121,0.7690223892601038,56.370094058513644,1202
14,-94.65503629046343,103,0.7536419414749017,54.445276460647584,1305
15,-46.57355130377856,99,0.7385691026454037,33.331214921474455,1404
16,-247.68077112753497,87,0.7237977205924956,39.39247533798218,1491
17,-121.01098642341114,121,0.7093217661806457,29.05212609767914,1612
18,-190.93179729569525,111,0.6951353308570327,41.660013939142225,1723
19,-74.1283163180893,114,0.6812326242398921,30.990838130712508,1837
20,-64.68224683825495,66,0.6676079717550942,39.60167316675186,1903
21,-191.57259067820695,113,0.6542558123199923,35.878802037239076,2016
22,33.85340294442992,95,0.6411706960735924,31.489321327209474,2111
23,-163.9710940889372,122,0.6283472821521205,26.437855112552644,2233
24,-97.00241815183071,195,0.6157803365090782,39.71909172654152,2428
25,-42.83733253918585,126,0.6034647297788965,45.43433408737182,2554
26,-56.11873507593765,124,0.5913954351833186,47.42308483600616,2678
27,-98.98153824850266,146,0.5795675264796523,41.20658081531525,2824
28,-120.86870554300364,81,0.5679761759500592,37.464349279403685,2905
29,-58.88880912183746,74,0.5566166524310581,34.99784470558166,2979
30,-201.12618618535333,171,0.5454843193824369,29.829051179885866,3150
31,-100.64967575126892,101,0.5345746329947881,37.85057383298874,3251
32,-30.22454913439421,110,0.5238831403348924,28.939042689800264,3361
33,-90.85499717375438,137,0.5134054775281945,34.99760564088822,3498
34,-83.18653419114969,154,0.5031373679776306,21.945704975128173,3652
35,-94.79843363508746,140,0.493074620618078,33.95390879869461,3792
36,-226.0921228994951,145,0.48321312820571644,28.75579290151596,3937
37,-41.41379386239018,143,0.4735488656416021,42.902167448997496,4080
38,-66.46043990570212,258,0.46407788832877006,30.609444484710693,4338
39,-58.56793301500575,169,0.45479633056219465,17.042335213422774,4507
40,-279.34169453874335,138,0.44570040395095073,22.48646823644638,4645
41,-82.21697013260089,201,0.4367863958719317,27.210248280763626,4846
42,-69.38589347562804,115,0.42805066795449304,25.390585252046584,4961
43,-158.4697816681383,659,0.41948965459540316,19.494068316221238,5620
44,-104.73509352798818,846,0.4110998615034951,17.221618151664735,6466
45,-100.15186482782502,223,0.4028778642734252,19.908394186496736,6689
46,-228.0223405535882,432,0.39482030698795667,20.3311961376667,7121
47,66.60411582947637,187,0.38692390084819756,18.16462273359299,7308
48,-82.43665811318712,322,0.3791854228312336,14.246677091121674,7630
49,-26.46305188483771,196,0.37160171437460887,15.830635927915573,7826
50,-40.56917878484414,1000,0.3641696800871167,17.72942535638809,8826
51,-61.948769591708455,421,0.35688628648537435,18.63895301103592,9247
52,12.62100353052304,206,0.34974856075566685,21.45139760375023,9453
53,-71.77708403899658,380,0.3427535895405535,17.873650131225585,9833
54,-41.61245986354925,245,0.33589851774974244,16.8424314057827,10078
55,-208.6361622030895,612,0.3291805473947476,18.155863881111145,10690
56,-82.22124868920982,1000,0.32259693644685267,22.862273344993593,11690
57,6.0202401857450525,381,0.3161449977179156,18.28755071401596,12071
58,-116.40875215429662,1000,0.3098220977635573,27.462220849990846,13071
59,-102.57096378724196,1000,0.30362565580828615,23.85057038664818,14071
60,-50.19240678692778,1000,0.2975531426921204,21.84204815864563,15071
61,-90.03089895553546,1000,0.291602079838278,24.50740671634674,16071
62,-21.38497138299624,273,0.2857700382415124,20.345192341804506,16344
63,-124.81564114403176,714,0.2800546374766822,15.15175188422203,17058
64,-23.238092019362227,406,0.27445354472714856,21.265002393722533,17464
65,-66.5461452009956,1000,0.2689644738326056,19.937015793323518,18464
66,-19.726234608259624,1000,0.26358518435595346,19.20448677778244,19464
67,-21.583346585455075,1000,0.25831348066883436,19.68752520799637,20464
68,-25.86226765415742,525,0.2531472110554577,20.195740265846254,20989
69,-13.15553858522631,162,0.24808426683434853,20.074713550806045,21151
70,-211.60000252706226,1000,0.24312258149766156,25.261544790267944,22151
71,-189.8059867947254,86,0.2382601298677083,22.76382312297821,22237
72,4.098511508800044,252,0.23349492727035415,33.35561469554901,22489
73,-335.2883732107989,312,0.22882502872494706,25.808731615543365,22801
74,-17.874251578870332,1000,0.22424852815044813,34.47102938175201,23801
75,-256.67436287918474,60,0.21976355758743915,27.70345558166504,23861
76,-189.87792780730996,152,0.21536828643569036,16.306461131572725,24013
77,-249.33794492813323,928,0.21106092070697655,23.816017878055572,24941
78,23.772443075256938,1000,0.20683970229283702,44.92825842380524,25941
79,-10.078610016506431,296,0.20270290824698028,26.396488077640534,26237
80,0.8318029327565379,1000,0.19864885008204067,21.615954254865645,27237
81,-158.37227576304127,71,0.19467587308039985,26.700875424146652,27308
82,58.039464058717805,1000,0.19078235561879187,24.96482135772705,28308
83,6.0980695592251895,1000,0.18696670850641603,22.06191928744316,29308
84,14.365988491814475,1000,0.18322737433628772,32.78425587654114,30308
85,55.544563595568135,1000,0.17956282684956196,17.358528127670287,31308
86,-144.97420837248993,281,0.1759715703125707,19.715661286115647,31589
87,-426.1693840282502,368,0.1724521389063193,17.446565034389497,31957
88,-36.64811052713539,1000,0.16900309612819292,13.959536609649659,32957
89,24.74735326509461,1000,0.16562303420562907,20.18947990179062,33957
90,-79.33405432222575,352,0.16231057352151648,21.526043305397035,34309
91,-2.8907947971672456,143,0.15906436205108615,21.652211809158324,34452
92,-215.10263501987896,626,0.15588307481006441,21.825392261743545,35078
93,15.003518037431789,1000,0.15276541331386312,15.756891951560974,36078
94,-14.326673002563215,1000,0.14971010504758586,21.51208224773407,37078
95,107.5363289317742,1000,0.14671590294663414,16.96456579208374,38078
96,59.925547695103525,1000,0.14378158488770146,21.86194372653961,39078
97,147.25888115690614,1000,0.14090595318994742,24.82207325220108,40078
98,10.70476707978473,1000,0.13808783412614847,28.25997265815735,41078
99,-61.1337723552585,138,0.13532607744362551,15.252461558580398,41216
100,248.46147753846114,410,0.132619555894753,23.083758617639543,41626
101,33.66748470023838,1000,0.12996716477685794,22.971608815193175,42626
102,-0.043604971560526895,1000,0.12736782148132078,20.227652504444123,43626
103,247.4901824092263,560,0.12482046505169436,13.143803153038025,44186
104,-37.57791361398274,1000,0.12232405575066048,20.422375304698946,45186
105,-152.701738946965,184,0.11987757463564727,21.642063717842102,45370
106,212.7381415557262,419,0.11748002314293432,24.385595371723173,45789
107,31.601875332363047,1000,0.11513042268007563,14.407300157546997,46789
108,263.25117302089996,431,0.11282781422647412,15.6896819627285,47220
109,217.70924162390526,368,0.11057125794194463,16.95988220214844,47588
110,221.7277427472315,581,0.10835983278310574,17.203123812675475,48169
111,-24.522088378224087,1000,0.10619263612744362,18.461308143138886,49169
112,210.10698140572876,730,0.10406878340489474,10.300258369445801,49899
113,214.19472945902464,590,0.10198740773679685,13.716928827762604,50489
114,-40.019890792022636,1000,0.09994765958206091,18.818078401088716,51489
115,107.5047901858415,1000,0.0979487063904197,16.82217588186264,52489
116,229.081849344856,567,0.0959897322626113,12.053062982559204,53056
117,120.8440054424555,1000,0.09406993761735907,12.987715065479279,54056
118,269.1844759618033,494,0.0921885388650119,11.309933990240097,54550
119,219.9972397982625,544,0.09034476808771166,18.8766182410717,55094
120,-261.46342169843376,217,0.08853787272595742,9.645799351930618,55311
121,209.06962813125602,332,0.08676711527143827,13.867180707454681,55643
122,-223.618173207345,127,0.0850317729660095,16.83349856376648,55770
