episode,reward,length,epsilon,mean_loss,steps
1,48.3775849430225,1000,0.995,8.877462356090545,1000
2,-112.23835281204539,71,0.990025,7.974787321090698,1071
3,-95.7145724274344,106,0.985074875,41.00602208852768,1177
4,-72.9482242841272,71,0.9801495006250001,52.59586400032043,1248
5,-226.0977983485239,122,0.9752487531218751,42.505546207427976,1370
6,-253.9757102087006,85,0.9703725093562657,71.2750794172287,1455
7,-119.92489761846737,95,0.9655206468094844,85.84417645692825,1550
8,-205.0951442870131,109,0.960693043575437,86.54122088432312,1659
9,-246.6330389502144,101,0.9558895783575597,71.1803663444519,1760
10,-127.08937909986467,80,0.9511101304657719,40.10119211196899,1840
11,-113.89062259664335,78,0.946354579813443,33.76926255226135,1918
12,-92.98794437738867,88,0.9416228069143757,36.80526321411133,2006
13,-95.73179157738893,119,0.9369146928798039,42.126720509529115,2125
14,-120.22066019728537,125,0.9322301194154049,32.487133445739744,2250
15,-68.14645655766893,67,0.9275689688183278,34.7139394402504,2317
16,-158.06857708027954,117,0.9229311239742362,48.48342426538468,2434
17,-190.07946950163085,73,0.918316468354365,43.02861070394516,2507
18,-97.63586775837202,65,0.9137248860125932,77.47988714694976,2572
19,-155.32215189105492,96,0.9091562615825302,52.02739819765091,2668
20,-226.0567001428958,124,0.9046104802746175,55.72218296051025,2792
21,-131.18367906924232,136,0.9000874278732445,101.81334735870361,2928
22,-78.73456818041709,78,0.8955869907338783,78.36904072284699,3006
23,-66.41968167273146,69,0.8911090557802088,117.9809631228447,3075
24,-314.795675086143,99,0.8866535105013078,87.75103830814362,3174
25,-139.24615057475893,99,0.8822202429488013,81.3598701620102,3273
26,-104.6736150040961,83,0.8778091417340573,83.65176865100861,3356
27,-87.44414976058579,123,0.8734200960253871,86.72450755834579,3479
28,-54.73676213987288,72,0.8690529955452602,68.35264807701111,3551
29,-108.4995706809357,96,0.8647077305675338,60.55948194980621,3647
30,-135.94544365255032,104,0.8603841919146962,70.23318096637726,3751
31,-79.81321984681752,91,0.8560822709551227,59.90912811279297,3842
32,-152.89192966581794,101,0.851801859600347,60.03316687107086,3943
33,-177.68497164672752,70,0.8475428503023453,64.53773357391357,4013
34,-353.3455189883874,114,0.8433051360508336,67.22664500951767,4127
35,-150.53292391467227,87,0.8390886103705794,66.07653446674347,4214
36,-113.98838665943288,85,0.8348931673187264,43.83640923023224,4299
37,-110.90654837843763,63,0.8307187014821328,40.271995749473575,4362
38,-111.86667736915132,67,0.8265651079747222,86.3212136220932,4429
39,-133.07307130039572,69,0.8224322824348486,72.17384546279908,4498
40,-138.4382618067262,128,0.8183201210226743,59.04099756956101,4626
41,-110.27836923675093,96,0.8142285204175609,54.04215507745743,4722
42,-40.421919811456505,74,0.810157377815473,82.64227445602417,4796
43,-225.1856079694358,118,0.8061065909263957,73.85311850786209,4914
44,-97.34475968007708,65,0.8020760579717637,117.2141943359375,4979
45,-124.75303622578627,108,0.798065677681905,82.66634825706483,5087
46,-140.82053583195687,80,0.7940753492934954,89.7820192861557,5167
47,-128.76530075782304,104,0.7901049725470279,105.31630500078201,5271
48,-165.2452640243331,71,0.7861544476842928,81.63858657121658,5342
49,-105.73431688832451,89,0.7822236754458713,84.44060891151429,5431
50,-205.33494264589498,127,0.778312557068642,89.30429984807968,5558
51,-311.55179132972387,88,0.7744209942832988,83.53125370740891,5646
52,-157.17344493070863,100,0.7705488893118823,97.5194444656372,5746
53,-227.02774435473748,110,0.7666961448653229,87.69548837661743,5856
54,-246.45116063970522,97,0.7628626641409962,101.2728453350067,5953
55,-165.3700547159165,95,0.7590483508202912,113.0814160823822,6048
56,-290.8113195570635,72,0.7552531090661897,121.81635422706604,6120
57,-96.26673144046067,75,0.7514768435208588,142.71852580070495,6195
58,-398.92429720875475,81,0.7477194593032545,158.9800228214264,6276
59,-143.7776017108889,89,0.7439808620067382,107.11601589679718,6365
60,-248.45802115905278,114,0.7402609576967045,78.44187545776367,6479
61,-173.3224655390021,111,0.736559652908221,112.2923180770874,6590
62,-74.48021024878639,66,0.7328768546436799,111.52840588569642,6656
63,-179.7902181490096,117,0.7292124703704616,118.52036381244659,6773
64,-291.030926783664,75,0.7255664080186093,97.89541015148163,6848
65,-277.2573341122717,107,0.7219385759785162,77.04358917713165,6955
66,-348.43687318235726,84,0.7183288830986236,135.6147301864624,7039
67,-98.9689989814371,109,0.7147372386831305,171.8862714576721,7148
68,-79.0745503333736,70,0.7111635524897149,66.53120457649231,7218
69,-206.54362466019802,113,0.7076077347272662,127.32083542346955,7331
70,-57.07483368374871,74,0.7040696960536299,60.34279706478119,7405
71,-321.22813266422077,106,0.7005493475733617,49.417504279613496,7511
72,-63.518297301590295,106,0.697046600835495,69.63614706516266,7617
73,-191.87377509730663,82,0.6935613678313175,48.34701328039169,7699
74,-320.47156254425215,65,0.6900935609921609,56.014805002212526,7764
75,-203.79179334138573,83,0.6866430931872001,87.60542313098908,7847
76,-208.03814270336022,106,0.6832098777212641,76.4685465669632,7953
77,-60.488788460525065,86,0.6797938283326578,51.80231267690659,8039
78,-122.21852165364935,99,0.6763948591909945,38.82826862096786,8138
79,-169.09410791068595,82,0.6730128848950395,75.91784961700439,8220
80,-306.9042122389242,95,0.6696478204705644,85.81912048339844,8315
81,-249.52772832389803,110,0.6662995813682115,47.62405998468399,8425
82,-212.20699461443786,97,0.6629680834613705,67.98611230611802,8522
83,-290.3998999111913,91,0.6596532430440636,38.05996401786804,8613
84,-52.935927724856626,76,0.6563549768288433,88.13479618310929,8689
85,-241.57426900210763,109,0.653073201944699,46.59981132507324,8798
86,-78.92345519720479,67,0.6498078359349755,38.4493445110321,8865
87,-247.84434612688094,71,0.6465587967553006,52.688920605182645,8936
88,-128.87923752014092,141,0.6433260027715241,69.23264213800431,9077
89,-185.60128146370528,127,0.6401093727576664,40.85955236673355,9204
90,-166.15312587012602,126,0.6369088258938781,53.16690630912781,9330
91,-161.17867078028476,101,0.6337242817644086,47.2500700545311,9431
92,-163.01180094247167,115,0.6305556603555866,57.05110061168671,9546
93,-152.15487314332225,95,0.6274028820538087,43.37629386901855,9641
94,-121.74510075385871,151,0.6242658676435396,37.96076138973236,9792
95,-215.0139469720661,127,0.6211445383053219,30.02987505197525,9919
96,-68.85320538479323,137,0.6180388156137953,49.76900477409363,10056
97,-22.25031178754473,118,0.6149486215357263,48.87172422647476,10174
98,-335.89157900458343,114,0.6118738784280476,74.39054999828339,10288
99,-101.06157325518141,114,0.6088145090359074,41.454628090858456,10402
100,-145.2408481841936,115,0.6057704364907278,48.51492539167404,10517
101,-303.4190962566493,84,0.6027415843082742,47.93765961408615,10601
102,-76.83490679472314,104,0.5997278763867329,77.16395896434784,10705
103,-81.95667759833252,206,0.5967292370047992,48.91481744050979,10911
104,-37.63888523995588,148,0.5937455908197752,43.46443861484528,11059
105,-82.63468137252113,112,0.5907768628656763,31.895143585205076,11171
106,-85.19528196650754,98,0.5878229785513479,31.289676814079286,11269
107,-162.14938411707482,235,0.5848838636585911,44.61775327563286,11504
108,-208.8232532810075,233,0.5819594443402982,47.85755475997925,11737
109,-210.84426820335037,195,0.5790496471185967,41.932519581317905,11932
110,-42.453436017337566,192,0.5761543988830038,35.518134751319884,12124
111,-14.852436474271073,144,0.5732736268885887,33.498050944805144,12268
112,-27.11696798209229,112,0.5704072587541458,47.919386291503905,12380
113,-24.256380782873848,156,0.567555222460375,44.967727396488186,12536
114,-171.95270129709837,254,0.5647174463480732,41.61476088285446,12790
115,-47.951098182796805,153,0.5618938591163328,37.091466040611266,12943
116,-20.00422339575411,217,0.5590843898207511,33.45942288398743,13160
117,-315.37992011731933,183,0.5562889678716474,37.612736706733706,13343
118,-88.6065283126361,135,0.5535075230322891,51.25426855802536,13478
119,-13.224634263896093,139,0.5507399854171277,49.92916706085205,13617
120,-118.30068794304046,173,0.547986285490042,34.5842035317421,13790
121,-87.16737789439246,138,0.5452463540625918,36.06444810152054,13928
122,-294.36973181521046,157,0.5425201222922789,39.47541202545166,14085
123,-120.68542910343109,277,0.5398075216808175,40.08129860162735,14362
124,-69.20540963491598,178,0.5371084840724134,42.78567192554474,14540
125,-40.9245386329203,142,0.5344229416520513,56.27415861129761,14682
126,-123.52390551446459,154,0.531750826943791,41.442146029472354,14836
127,-54.05064615890515,109,0.5290920728090721,57.18699518442154,14945
128,-76.58002476416672,163,0.5264466124450268,39.430647382736204,15108
129,-92.27052321744146,143,0.5238143793828016,49.91707995414734,15251
130,-69.92694013099384,134,0.5211953074858876,43.400687422752384,15385
131,-111.42520047406285,142,0.5185893309484582,34.177819211483005,15527
132,-240.06420803527323,253,0.5159963842937159,42.95112627506256,15780
133,-89.45619237789114,116,0.5134164023722473,49.96739049434662,15896
134,-11.290705273748642,175,0.510849320360386,46.97161979198456,16071
135,-194.52330546673113,271,0.5082950737585841,55.67740699529648,16342
136,-38.7058482043427,134,0.5057535983897912,38.38562285900116,16476
137,-196.3884505120693,144,0.5032248303978422,53.32179186105728,16620
138,-110.40422225587193,317,0.500708706245853,71.33197605609894,16937
139,-114.98134138039588,107,0.4982051627146237,45.25533411979675,17044
140,-126.35132060953649,441,0.49571413690105054,91.27298824310303,17485
141,-109.6912457490128,173,0.4932355662165453,50.347813336849214,17658
142,-77.51152870830178,625,0.4907693883854626,31.46936833381653,18283
143,-41.358916417160785,130,0.4883155414435353,57.6620939540863,18413
144,-97.22792072590994,112,0.4858739637363176,33.9259036898613,18525
145,-100.5191605160672,354,0.483444593917636,34.40504647731781,18879
146,-14.309906681152142,187,0.4810273709480478,59.774660058021546,19066
147,-83.4953764891772,200,0.47862223409330756,30.17108330488205,19266
148,-18.317762496799048,166,0.47622912292284103,71.67326018333435,19432
149,-0.44333275988184084,178,0.4738479773082268,37.124158072471616,19610
150,-74.28165695729271,163,0.47147873742168567,38.596037933826445,19773
151,-137.62570303808502,644,0.46912134373457726,31.274838256835938,20417
152,-4.56635105444235,139,0.46677573701590436,50.16714615106583,20556
153,9.719710099503104,242,0.46444185833082485,53.51138135671616,20798
154,6.291210811402763,230,0.46211964903917074,59.868179149627686,21028
155,-115.37413172340355,682,0.4598090507939749,39.935271692276004,21710
156,-38.28802845208564,103,0.457510005540005,41.968969225883484,21813
157,-222.34557227370647,668,0.45522245551230495,68.98069147586823,22481
158,2.7591544938725576,370,0.4529463432347434,62.10957347869873,22851
159,-149.10562560743654,841,0.4506816115185697,40.147230668067934,23692
160,-6.606894930437818,192,0.4484282034609769,46.14416350364685,23884
161,-41.76829757514754,305,0.446186062443672,41.263549420833584,24189
162,-71.10115514617269,424,0.4439551321314536,58.73285512685776,24613
163,-124.77417288085816,1000,0.4417353564707963,81.14213180065155,25613
164,20.636489590335188,106,0.43952667968844233,75.50718049049378,25719
165,-29.223864593527182,89,0.43732904629000013,43.53509663105011,25808
166,-53.0436694151728,1000,0.4351424010585501,55.955943276882174,26808
167,-83.8884131570601,101,0.43296668905325736,56.31563170909882,26909
168,-33.00276865766013,93,0.43080185560799106,73.37013836860656,27002
169,-60.4060249437686,235,0.4286478463299511,91.77084949016572,27237
170,-235.06329070980433,241,0.42650460709830135,44.03671011924744,27478
171,14.12219263055701,138,0.42437208406280985,43.88310179710388,27616
172,-58.67324310666477,1000,0.4222502236424958,88.73889867305756,28616
173,-184.59660161585862,165,0.42013897252428334,53.12281460523605,28781
174,-256.8053175031433,982,0.4180382776616619,52.60382279872894,29763
175,0.5806987757375879,143,0.4159480862733536,70.10392266750335,29906
176,-85.86769864249817,1000,0.41386834584198684,70.75502987861633,30906
177,-106.25057652682304,175,0.4117990041127769,49.27137094497681,31081
178,-19.164191980058526,1000,0.40974000909221303,54.31578316211701,32081
179,-108.78744520515306,139,0.40769130904675194,62.406060347557066,32220
180,-115.31515525968385,1000,0.40565285250151817,49.112608571052554,33220
181,-393.194981329804,701,0.4036245882390106,55.19306043624878,33921
182,-87.56403316292953,189,0.4016064652978155,69.81468058109283,34110
183,-71.34133728180241,149,0.3995984329713264,62.86919104099274,34259
184,-15.35542622667654,1000,0.3976004408064698,67.65878505229949,35259
185,-102.51382295835069,103,0.39561243860243744,51.40152414321899,35362
186,-36.80276435772031,1000,0.3936343764094253,63.19871917724609,36362
187,73.82325671629332,1000,0.39166620452737816,44.12838095188141,37362
188,25.78251195008255,102,0.3897078735047413,51.16178579807281,37464
189,0.6140688606770794,152,0.3877593341372176,62.51684996604919,37616
190,-100.96071510573658,128,0.3858205374665315,40.28702998638153,37744
191,-35.27291070863747,126,0.38389143477919885,62.75396118640899,37870
192,41.4090854005706,1000,0.3819719776053028,74.27804810523986,38870
193,24.601836374941406,1000,0.3800621177172763,54.142534761428834,39870
194,-25.624734007617832,1000,0.37816180712868996,68.27914132595062,40870
195,101.4371486648566,1000,0.37627099809304654,46.759080238342285,41870
196,-37.799377597886235,118,0.3743896431025813,66.87176294326783,41988
197,-116.07537127452439,154,0.37251769488706843,50.56465882778168,42142
198,-9.31282394361493,109,0.3706551064126331,66.7930964756012,42251
199,93.77351128532129,1000,0.36880183088056995,55.662884826660154,43251
200,-18.005278014857836,320,0.3669578217261671,50.848575463294985,43571
201,106.57243334776572,1000,0.36512303261753626,60.18282663822174,44571
202,-3.006442524956796,129,0.3632974174544486,45.79174831390381,44700
203,67.18356295845211,1000,0.3614809303671764,36.026711797714235,45700
204,95.51154433970821,1000,0.3596735257153405,45.086330013275145,46700
205,-190.97961961669296,349,0.3578751580867638,50.76359285354614,47049
